FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Nicola,BARTOLINI,m,ITA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,5,5.2,9.466,NA,14.666
Nicola,BARTOLINI,m,ITA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,5,4.8,9.333,NA,14.133
Aurel,BENOVIC,m,CRO,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,6,5.2,9.2,0.3,14.1
Aurel,BENOVIC,m,CRO,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,6,5.2,9.366,NA,14.566
Andrey,MEDVEDEV,m,ISR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,7,5.6,8.933,0.1,14.433
Andrey,MEDVEDEV,m,ISR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,7,5.6,8.2,NA,13.8
Gabriel,BURTANETE,m,ROU,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,8,5.6,7.966,0.3,13.266
Gabriel,BURTANETE,m,ROU,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,8,5.6,7.933,0.3,13.233
Aurel,BENOVIC,m,CRO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,1,6.2,8.3,NA,14.5
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,2,6.1,8.133,NA,14.233
Milad,KARIMI,m,KAZ,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,3,6.3,7.933,NA,14.233
Nicola,BARTOLINI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,4,5.7,8.266,NA,13.966
Riley,LOOS,m,USA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,5,5.6,8.166,NA,13.766
Eamon,MONTGOMERY,m,IRL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,6,5.9,7.933,0.1,13.733
Dominick,CUNNINGHAM,m,IRL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,7,5.6,8.066,NA,13.666
Harry,HEPWORTH,m,GBR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,8,6.1,7.533,NA,13.633
Pascal,BRENDEL,m,GER,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,9,5.7,7.9,NA,13.6
Guilherme,CAMPOS,m,POR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,10,5.4,8.133,NA,13.533
Yumin,ABBADINI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,11,5.5,8.033,NA,13.533
Gabriel,BURTANETE,m,ROU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,12,5.6,7.866,NA,13.466
Kazuki,MATSUMI,m,JPN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,13,6.1,7.466,0.1,13.466
Akseli,KARSIKAS,m,FIN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,14,5.6,7.9,0.1,13.4
Pau,JIMENEZ,m,ESP,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,15,5.6,7.8,NA,13.4
Ondrej,KALNY,m,CZE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,16,5.3,8.1,0.1,13.3
Dusan,DORDEVIC,m,SRB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,17,5.4,7.866,NA,13.266
Enkhtuvshin,DAMDINDORJ,m,MGL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,18,5.5,7.766,NA,13.266
Omar,MOHAMED,m,EGY,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,19,5.9,7.366,NA,13.266
Filip,SASNAL,m,POL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,20,5.6,7.6,0.1,13.1
Carlos Edriel,YULO,m,PHI,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,21,6.3,7.1,0.3,13.1
Marcelo,MARQUES,m,POR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,22,5.4,7.766,0.1,13.066
Hai Khang,TRINH,m,VIE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,23,5.4,7.633,NA,13.033
Pavel,KARNEJENKO,m,GBR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,24,5.3,7.566,NA,12.866
Ioane,JIMSHELEISHVILI,m,GEO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,25,5.6,7.266,NA,12.866
Robert,BURTANETE,m,ROU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,26,5.6,7.3,0.1,12.8
Saba,ABESADZE,m,GEO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,27,4.9,7.866,NA,12.766
Takeru,KITAZONO,m,JPN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,28,5.5,7.333,0.2,12.633
Usukhbayar,ERKHEMBAYAR,m,MGL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,29,5.5,7.3,0.2,12.6
Asadbek,AZAMOV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,30,5.1,7.333,NA,12.433
Mehmet Ayberk,KOSAK,m,TUR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,31,5.4,6.833,NA,12.233
Andres,MARTINEZ MORENO,m,COL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,32,4.4,7.666,NA,12.066
Ahmed,ABDELRAHMAN,m,EGY,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,33,5.1,7.266,0.3,12.066
Anze,HRIBAR,m,SLO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,34,5.4,6.666,NA,12.066
Ilyas,AZIZOV,m,KAZ,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,35,5.1,7.033,0.1,12.033
Utkirbek,JURAEV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,36,5.5,6.4,NA,11.9
Robert,KIRMES,m,FIN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,37,5.6,6.666,0.7,11.566
Sebastian,GAWRONSKI,m,POL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,38,5.3,6.266,0.1,11.466
Daniel,CARRION CARO,m,ESP,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,39,4.3,6.266,NA,10.566
Kazuki,MATSUMI,m,JPN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,1,5.9,8.333,NA,14.233
Curran,PHILLIPS,m,USA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,2,5.5,8.633,NA,14.133
Mitchell,MORGANS,m,AUS,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,3,5.7,8.4,NA,14.1
Alexander,MYAKININ,m,ISR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,4,6,7.966,NA,13.966
Tin,SRBIC,m,CRO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,5,5.4,8.533,NA,13.933
Ivan,TIKHONOV,m,AZE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,6,5.6,8.333,NA,13.933
Takeru,KITAZONO,m,JPN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,7,5.7,8.033,NA,13.733
Ahmed,ELMARAGHY,m,EGY,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,8,5.5,8.1,NA,13.6
David,VECSERNYES,m,HUN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,9,5.8,7.8,NA,13.6
Yumin,ABBADINI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,10,5.3,8.233,NA,13.533
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,11,5.3,8.2,NA,13.5
Robert,TVOROGAL,m,LTU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,12,5.5,7.9,NA,13.4
Milad,KARIMI,m,KAZ,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,13,6.3,7.1,NA,13.4
Mohammadreza,HAMIDI,m,IRI,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,14,5.1,8.2,NA,13.3
Kerem,SENER,m,TUR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,15,4.8,8.433,NA,13.233
Andres,MARTINEZ MORENO,m,COL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,16,5.2,8.033,NA,13.233
Ioane,JIMSHELEISHVILI,m,GEO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,17,5,8.2,NA,13.2
Nikolaos,ILIOPOULOS,m,GRE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,18,5.2,8,NA,13.2
Ivan,DEJANOVIC,m,SRB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,19,5,8,NA,13
Apostolos,KANELLOS,m,GRE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,20,5.1,7.9,NA,13
Enkhtuvshin,DAMDINDORJ,m,MGL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,21,4.8,8.1,NA,12.9
Nicholas,TARCA,m,ROU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,22,4.8,8.066,NA,12.866
Pascal,BRENDEL,m,GER,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,23,5,7.8,NA,12.8
Pavel,KARNEJENKO,m,GBR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,24,4.6,8.133,NA,12.733
Akseli,KARSIKAS,m,FIN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,25,4.7,8.033,NA,12.733
Utkirbek,JURAEV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,26,4.8,7.9,NA,12.7
Rasuljon,ABDURAKHIMOV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,27,4.5,8.033,NA,12.533
Riley,LOOS,m,USA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,28,5.5,6.866,NA,12.366
Anze,HRIBAR,m,SLO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,29,4.2,8.1,NA,12.3
Miroslav,DURAK,m,CZE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,30,4,8.233,NA,12.233
Bidzina,SITCHINAVA,m,GEO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,31,4.1,7.933,NA,12.033
Mikhail,KOUDINOV,m,NZL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,32,4.7,7.3,NA,12
Guilherme,CAMPOS,m,POR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,33,4.2,7.6,NA,11.8
Nils,DUNKEL,m,GER,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,34,4.5,7.133,NA,11.633
Mohamed,AFIFY,m,EGY,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,35,4.2,7.266,NA,11.466
Kevin George,BUCKLEY,m,SLO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,36,4.3,7.166,NA,11.466
Sebastian,GAWRONSKI,m,POL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,37,4.4,7.033,NA,11.433
Ricards,PLATE,m,LAT,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,38,4.4,7,NA,11.4
Daniel,CARRION CARO,m,ESP,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,39,3.9,7.133,NA,11.033
Usukhbayar,ERKHEMBAYAR,m,MGL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,40,4,6.966,NA,10.966
Filip,SASNAL,m,POL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,41,4.4,6.566,NA,10.966
Robert,KIRMES,m,FIN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,42,4.6,5.733,NA,10.333
Nicolas,GARFIAS,m,PER,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,43,3.7,6.433,NA,10.133
Matteo,LEVANTESI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,44,4.9,5.233,NA,10.133
Guan Yi,LIN,m,TPE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,45,2.9,4.866,NA,7.766
Pau,JIMENEZ,m,ESP,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,46,4,6.9,3.3,7.6
Curran,PHILLIPS,m,USA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,1,6.8,8.7,NA,15.5
Carlos Edriel,YULO,m,PHI,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,2,6.5,8.833,NA,15.333
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,3,6.3,8.766,NA,15.066
Kazuki,MATSUMI,m,JPN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,4,6.1,8.866,NA,14.966
Dilan,JIMENEZ GIRALDO,m,COL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,5,5.9,8.8,NA,14.7
Cameron Lie,BERNARD,m,FRA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,6,6.2,8.466,NA,14.666
Mohamed,AFIFY,m,EGY,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,7,6,8.433,NA,14.433
Rasuljon,ABDURAKHIMOV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,8,5.9,8.366,NA,14.266
Matteo,LEVANTESI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,9,5.9,8.233,NA,14.133
Robert,TVOROGAL,m,LTU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,10,5.6,8.5,NA,14.1
Utkirbek,JURAEV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,11,5.6,8.333,NA,13.933
Ahmed,ABDELRAHMAN,m,EGY,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,12,5.2,8.266,NA,13.466
Mikhail,KOUDINOV,m,NZL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,13,5.4,8.066,NA,13.466
Pau,JIMENEZ,m,ESP,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,14,5.3,8.1,NA,13.4
Ivan,TIKHONOV,m,AZE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,15,5.6,7.8,NA,13.4
Pascal,BRENDEL,m,GER,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,16,5.7,7.7,NA,13.4
Guan Yi,LIN,m,TPE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,17,5.1,8.266,NA,13.366
Pavel,KARNEJENKO,m,GBR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,18,5.4,7.933,NA,13.333
Daniel,CARRION CARO,m,ESP,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,19,4.9,8.366,NA,13.266
Kerem,SENER,m,TUR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,20,5.5,7.666,NA,13.166
Saba,ABESADZE,m,GEO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,21,5.2,7.7,NA,12.9
Levan,SKHILADZE,m,GEO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,22,4.8,8.033,NA,12.833
Mitchell,MORGANS,m,AUS,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,23,5.6,7.033,NA,12.633
Nils,DUNKEL,m,GER,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,24,5.7,6.9,NA,12.6
Ilyas,AZIZOV,m,KAZ,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,25,5.1,7.3,NA,12.4
Alexander,MYAKININ,m,ISR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,26,4.4,7.833,NA,12.233
Chih Kai,LEE,m,TPE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,27,5.2,7,NA,12.2
Robert,BURTANETE,m,ROU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,28,5.1,6.966,NA,12.066
Blake,SUN,m,USA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,29,6,6.066,NA,12.066
Filip,SASNAL,m,POL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,30,4.2,7.7,NA,11.9
Milad,KARIMI,m,KAZ,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,31,5.2,6.566,NA,11.766
Nikolaos,ILIOPOULOS,m,GRE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,32,4.3,7.366,NA,11.666
Robert,KIRMES,m,FIN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,33,4.8,6.866,NA,11.666
Sebastian,GAWRONSKI,m,POL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,34,4.5,6.733,NA,11.233
Fabian,DE LUNA,m,MEX,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,35,5,6.166,NA,11.166
Usukhbayar,ERKHEMBAYAR,m,MGL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,36,4.3,6.833,NA,11.133
Stefanos,TSOLAKIDIS,m,GRE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,37,5.6,5.533,NA,11.133
Gabriel,BURTANETE,m,ROU,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,38,4.1,6.866,NA,10.966
Enkhtuvshin,DAMDINDORJ,m,MGL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,39,4.2,6.433,NA,10.633
Miroslav,DURAK,m,CZE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,40,4,6.166,NA,10.166
Kevin George,BUCKLEY,m,SLO,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,41,4.2,5.933,NA,10.133
Takeru,KITAZONO,m,JPN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,42,5.5,4.533,NA,10.033
Akseli,KARSIKAS,m,FIN,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,43,4.2,5.6,NA,9.8
Daniel,BAGO,m,CZE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PB,44,3.6,5.1,NA,8.7
Nariman,KURBANOV,m,KAZ,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,1,6.6,8.466,NA,15.066
Yu Jan,SHIAO,m,TPE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,2,6.1,8.466,NA,14.566
Benjamin,OSBERGER,m,FRA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,3,5.7,8.6,NA,14.3
Matvei,PETROV,m,ALB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,4,6.2,8.1,NA,14.3
Vedant,SAWANT,m,AUS,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,5,6,8.233,NA,14.233
Rhys,MC CLENAGHAN,m,IRL,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,6,6.5,7.7,NA,14.2
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,7,6,8.166,NA,14.166
Utkirbek,JURAEV,m,UZB,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,8,5.6,8.5,NA,14.1
Chih Kai,LEE,m,TPE,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,9,6.3,7.733,NA,14.033
Dmitrijs,MICKEVICS,m,LAT,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,10,5.5,8.5,NA,14
Eyal,INDIG,m,ISR,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",PH,11,6,7.933,NA,13.933
